Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:438071


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
438071;1;01/05/2024;1;;"5,0";;;0;;0;;;"0,0";"0,0";"0,0";"5,0";"0,0";"0,0";"0,0";"0,0";"8,5";"0,0";"0,0";"0,0";"0,0";"0,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/04/2024;1;"61,0";"342,3";4;19;1;1;1;;;"0,0";"0,0";"0,0";"61,0";"48,5";"10,2";"19,3";"0,0";"0,0";"25,0";"0,0";"19,4";"27,0";"17,3";"3,2";"4,3";"0,0";"5,0";"2,0";"28,0";"11,5";"18,0";"19,3";"0,0";"3,0";"0,0";"18,3";"2,0";"0,0";"0,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/03/2024;1;"61,0";"332,9";30;17;1;1;1;;;"0,0";"0,0";"0,0";"0,0";"0,0";"17,3";"0,0";"0,0";"19,5";"0,0";"0,0";"0,0";"0,0";"7,3";"45,0";"19,5";"0,0";"10,2";"6,0";"6,3";"4,2";"3,3";"5,4";"32,0";"0,0";"21,2";"23,4";"0,0";"22,0";"61,0";"29,3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/02/2024;1;"43,2";"247,3";16;12;1;1;1;;;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"7,0";"0,0";"5,0";"13,5";"43,2";"0,0";"0,0";"39,3";"12,0";"8,3";"0,0";"10,0";"38,5";"0,0";"23,0";"12,2";"35,3";"0,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/01/2024;1;"54,0";"104,0";13;4;1;1;1;;;"0,0";"0,0";"0,0";"11,5";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,0";"54,0";"35,5";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/12/2023;1;"38,5";"82,5";20;4;1;1;1;;;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,0";"38,5";"6,0";"35,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/11/2023;1;"12,0";"12,0";28;1;1;1;1;;;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"12,0";"0,0";"0,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/10/2023;1;;;;;0;0;0;;;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/09/2023;1;"0,0";"0,0";1;0;1;1;1;;;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/08/2023;1;"0,0";"0,0";1;0;1;1;1;;;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/07/2023;1;"5,6";"12,8";4;3;1;1;1;;;"3,2";"0,0";"0,0";"5,6";"0,0";"0,0";"4,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/06/2023;1;"30,0";"57,3";15;4;1;1;1;;;"0,0";"0,0";"0,0";"0,0";"5,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"30,0";"0,0";"0,0";"0,0";"0,0";"0,0";"17,0";"0,0";"0,0";"0,0";"0,0";"0,0";"5,3";"0,0";"0,0";"0,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/05/2023;1;"22,0";"52,3";1;5;1;1;1;;;"22,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"12,0";"0,0";"0,0";"0,0";"8,3";"3,0";"0,0";"0,0";"0,0";"0,0";"7,0";"0,0";"0,0";"0,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/04/2023;1;"41,0";"211,7";4;12;1;1;1;;;"0,0";"0,0";"3,0";"41,0";"0,0";"5,4";"0,0";"0,0";"15,5";"21,0";"19,0";"0,0";"0,0";"5,0";"0,0";"35,3";"0,0";"0,0";"5,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,0";"35,0";"0,0";"23,5";"0,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/03/2023;1;"64,2";"272,9";17;17;1;1;1;;;"0,0";"0,0";"7,3";"9,0";"0,0";"0,0";"0,0";"0,0";"0,0";"9,0";"0,0";"0,0";"19,3";"38,3";"8,0";"3,0";"64,2";"0,0";"10,0";"0,0";"12,3";"13,5";"0,0";"3,0";"0,0";"0,0";"18,2";"17,5";"7,0";"9,3";"24,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
438071;1;01/02/2023;1;"38,0";"102,6";23;9;1;1;1;;;"3,0";"0,0";"0,0";"0,0";"0,0";"5,0";"0,0";"0,0";"0,0";"8,5";"0,0";"0,0";"0,0";"0,0";"0,0";"8,5";"0,0";"0,0";"0,0";"0,0";"8,3";"0,0";"38,0";"15,3";"8,0";"0,0";"0,0";"8,0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
